YEAR,STATE,VALUE
2011,ANDHRA PRADESH,339996
2011,ARUNACHAL PRADESH,10229
2011,ASSAM,129354
2011,BIHAR,228497
2011,GOA,38009
2011,GUJARAT,532809
2011,HARYANA,271152
2011,HIMACHAL PRADESH,60536
2011,JAMMU & KASHMIR,65319
2011,JHARKHAND,137383
2011,KARNATAKA,554952
2011,KERALA,328021
2011,MADHYA PRADESH,282371
2011,CHHATTISGARH,142273
2011,MAHARASHTRA,1126595
2011,MANIPUR,11501
2011,MEGHALAYA,18028
2011,MIZORAM,6404
2011,NAGALAND,10554
2011,ORISSA,204226
2011,PUNJAB,239227
2011,RAJASTHAN,395331
2011,SIKKIM,9742
2011,TAMIL NADU,674478
2011,TRIPURA,17419
2011,UTTAR PRADESH,645132
2011,UTTARAKHAND,101960
2011,WEST BENGAL,473205
2011,ANDAMAN & NICOBAR ISLANDS,3404
2011,CHANDIGARH,16930
2011,DELHI,314650
2011,PUDUCHERRY,15160
2011,TELANGANA,325139
2012,ANDHRA PRADESH,341335
2012,ARUNACHAL PRADESH,10399
2012,ASSAM,132518
2012,BIHAR,236933
2012,GOA,32453
2012,GUJARAT,596659
2012,HARYANA,289756
2012,HIMACHAL PRADESH,64519
2012,JAMMU & KASHMIR,67316
2012,JHARKHAND,149526
2012,KARNATAKA,593192
2012,KERALA,348616
2012,MADHYA PRADESH,306853
2012,CHHATTISGARH,148760
2012,MAHARASHTRA,1189711
2012,MANIPUR,11515
2012,MEGHALAYA,18323
2012,MIZORAM,6836
2012,NAGALAND,11163
2012,ORISSA,216301
2012,PUNJAB,251813
2012,RAJASTHAN,409802
2012,SIKKIM,9970
2012,TAMIL NADU,709343
2012,TRIPURA,18857
2012,UTTAR PRADESH,673552
2012,UTTARAKHAND,109528
2012,WEST BENGAL,492901
2012,ANDAMAN & NICOBAR ISLANDS,3558
2012,CHANDIGARH,18305
2012,DELHI,334193
2012,PUDUCHERRY,15507
2012,TELANGANA,334205
2013,ANDHRA PRADESH,360239
2013,ARUNACHAL PRADESH,11226
2013,ASSAM,138725
2013,BIHAR,246915
2013,GOA,27971
2013,GUJARAT,641489
2013,HARYANA,314931
2013,HIMACHAL PRADESH,69398
2013,JAMMU & KASHMIR,70536
2013,JHARKHAND,150609
2013,KARNATAKA,646787
2013,KERALA,364707
2013,MADHYA PRADESH,322598
2013,CHHATTISGARH,163494
2013,MAHARASHTRA,1267551
2013,MANIPUR,12519
2013,MEGHALAYA,18397
2013,MIZORAM,7831
2013,NAGALAND,11923
2013,ORISSA,233122
2013,PUNJAB,267515
2013,RAJASTHAN,434292
2013,SIKKIM,10590
2013,TAMIL NADU,750416
2013,TRIPURA,20623
2013,UTTAR PRADESH,707469
2013,UTTARAKHAND,117778
2013,WEST BENGAL,503952
2013,ANDAMAN & NICOBAR ISLANDS,3811
2013,CHANDIGARH,19813
2013,DELHI,356528
2013,PUDUCHERRY,17239
2013,TELANGANA,349593
2014,ANDHRA PRADESH,397064
2014,ARUNACHAL PRADESH,13082
2014,ASSAM,146425
2014,BIHAR,255739
2014,GOA,36042
2014,GUJARAT,705629
2014,HARYANA,333359
2014,HIMACHAL PRADESH,74553
2014,JAMMU & KASHMIR,67154
2014,JHARKHAND,170568
2014,KARNATAKA,671283
2014,KERALA,382134
2014,MADHYA PRADESH,339247
2014,CHHATTISGARH,165354
2014,MAHARASHTRA,1345341
2014,MANIPUR,13615
2014,MEGHALAYA,17893
2014,MIZORAM,9960
2014,NAGALAND,12406
2014,ORISSA,235931
2014,PUNJAB,278485
2014,RAJASTHAN,465408
2014,SIKKIM,11437
2014,TAMIL NADU,791915
2014,TRIPURA,24407
2014,UTTAR PRADESH,729686
2014,UTTARAKHAND,125702
2014,WEST BENGAL,515702
2014,ANDAMAN & NICOBAR ISLANDS,4151
2014,CHANDIGARH,20353
2014,DELHI,387639
2014,PUDUCHERRY,16055
2014,TELANGANA,372897
2015,ANDHRA PRADESH,446997
2015,ARUNACHAL PRADESH,12889
2015,ASSAM,167629
2015,BIHAR,269200
2015,GOA,41929
2015,GUJARAT,774775
2015,HARYANA,372700
2015,HIMACHAL PRADESH,80563
2015,JAMMU & KASHMIR,80602
2015,JHARKHAND,158231
2015,KARNATAKA,749952
2015,KERALA,411150
2015,MADHYA PRADESH,370716
2015,CHHATTISGARH,168879
2015,MAHARASHTRA,1452513
2015,MANIPUR,14635
2015,MEGHALAYA,18330
2015,MIZORAM,10948
2015,NAGALAND,12600
2015,ORISSA,253192
2015,PUNJAB,294895
2015,RAJASTHAN,501922
2015,SIKKIM,12484
2015,TAMIL NADU,862437
2015,TRIPURA,23745
2015,UTTAR PRADESH,792049
2015,UTTARAKHAND,136144
2015,WEST BENGAL,546988
2015,ANDAMAN & NICOBAR ISLANDS,4483
2015,CHANDIGARH,22058
2015,DELHI,431730
2015,PUDUCHERRY,17025
2015,TELANGANA,416892
2016,ANDHRA PRADESH,477566
2016,ARUNACHAL PRADESH,13396
2016,ASSAM,179632
2016,BIHAR,289265
2016,GOA,46371
2016,GUJARAT,843930
2016,HARYANA,412055
2016,HIMACHAL PRADESH,88112
2016,JAMMU & KASHMIR,82636
2016,JHARKHAND,176363
2016,KARNATAKA,851394
2016,KERALA,443615
2016,MADHYA PRADESH,419465
2016,CHHATTISGARH,187541
2016,MAHARASHTRA,1596121
2016,MANIPUR,15201
2016,MEGHALAYA,19295
2016,MIZORAM,12029
2016,NAGALAND,13488
2016,ORISSA,293348
2016,PUNJAB,315783
2016,RAJASTHAN,529650
2016,SIKKIM,13416
2016,TAMIL NADU,922084
2016,TRIPURA,27204
2016,UTTAR PRADESH,888453
2016,UTTARAKHAND,150303
2016,WEST BENGAL,584911
2016,ANDAMAN & NICOBAR ISLANDS,5091
2016,CHANDIGARH,23842
2016,DELHI,461592
2016,PUDUCHERRY,18284
2016,TELANGANA,455731
2017,ANDHRA PRADESH,526626
2017,ARUNACHAL PRADESH,13923
2017,ASSAM,195262
2017,BIHAR,312605
2017,GOA,47077
2017,GUJARAT,946511
2017,HARYANA,434407
2017,HIMACHAL PRADESH,93525
2017,JAMMU & KASHMIR,87591
2017,JHARKHAND,191573
2017,KARNATAKA,915642
2017,KERALA,473182
2017,MADHYA PRADESH,441956
2017,CHHATTISGARH,194073
2017,MAHARASHTRA,1661065
2017,MANIPUR,16870
2017,MEGHALAYA,19964
2017,MIZORAM,13779
2017,NAGALAND,14178
2017,ORISSA,316192
2017,PUNJAB,335057
2017,RAJASTHAN,557618
2017,SIKKIM,15204
2017,TAMIL NADU,1000308
2017,TRIPURA,29505
2017,UTTAR PRADESH,922458
2017,UTTARAKHAND,162205
2017,WEST BENGAL,623787
2017,ANDAMAN & NICOBAR ISLANDS,5750
2017,CHANDIGARH,25289
2017,DELHI,487631
2017,PUDUCHERRY,20024
2017,TELANGANA,498145
2018,ANDHRA PRADESH,558862
2018,ARUNACHAL PRADESH,14897
2018,ASSAM,204627
2018,BIHAR,345545
2018,GOA,47425
2018,GUJARAT,1034399
2018,HARYANA,470328
2018,HIMACHAL PRADESH,99218
2018,JAMMU & KASHMIR,93072
2018,JHARKHAND,208701
2018,KARNATAKA,974815
2018,KERALA,510787
2018,MADHYA PRADESH,482361
2018,CHHATTISGARH,209211
2018,MAHARASHTRA,1728578
2018,MANIPUR,16193
2018,MEGHALAYA,20968
2018,MIZORAM,14116
2018,NAGALAND,15055
2018,ORISSA,338339
2018,PUNJAB,353942
2018,RAJASTHAN,568102
2018,SIKKIM,15889
2018,TAMIL NADU,1071602
2018,TRIPURA,32703
2018,UTTAR PRADESH,949184
2018,UTTARAKHAND,166519
2018,WEST BENGAL,659288
2018,ANDAMAN & NICOBAR ISLANDS,6108
2018,CHANDIGARH,26654
2018,DELHI,506332
2018,PUDUCHERRY,23468
2018,TELANGANA,544441
2019,ANDHRA PRADESH,595658
2019,ARUNACHAL PRADESH,17091
2019,ASSAM,212315
2019,BIHAR,359196
2019,GOA,48509
2019,GUJARAT,1110179
2019,HARYANA,507776
2019,HIMACHAL PRADESH,102613
2019,JAMMU & KASHMIR,90791
2019,JHARKHAND,209913
2019,KARNATAKA,1030357
2019,KERALA,521455
2019,MADHYA PRADESH,508146
2019,CHHATTISGARH,220624
2019,MAHARASHTRA,1782903
2019,MANIPUR,17756
2019,MEGHALAYA,21997
2019,MIZORAM,13050
2019,NAGALAND,15853
2019,ORISSA,346106
2019,PUNJAB,367558
2019,RAJASTHAN,598550
2019,SIKKIM,16588
2019,TAMIL NADU,1099402
2019,TRIPURA,33695
2019,UTTAR PRADESH,980106
2019,UTTARAKHAND,166351
2019,WEST BENGAL,697554
2019,ANDAMAN & NICOBAR ISLANDS,6430
2019,CHANDIGARH,27817
2019,DELHI,521994
2019,PUDUCHERRY,23672
2019,TELANGANA,572736
2020,ANDHRA PRADESH,593869
2020,ARUNACHAL PRADESH,16588
2020,ASSAM,199646
2020,BIHAR,344183
2020,GOA,46421
2020,GUJARAT,1099259
2020,HARYANA,480471
2020,HIMACHAL PRADESH,98132
2020,JAMMU & KASHMIR,87102
2020,JHARKHAND,196467
2020,KARNATAKA,1026875
2020,KERALA,472272
2020,MADHYA PRADESH,490238
2020,CHHATTISGARH,215126
2020,MAHARASHTRA,1653094
2020,MANIPUR,18230
2020,MEGHALAYA,20620
2020,MIZORAM,11781
2020,NAGALAND,15200
2020,ORISSA,326253
2020,PUNJAB,352357
2020,RAJASTHAN,583645
2020,SIKKIM,16147
2020,TAMIL NADU,1094471
2020,TRIPURA,32615
2020,UTTAR PRADESH,910011
2020,UTTARAKHAND,156792
2020,WEST BENGAL,706648
2020,ANDAMAN & NICOBAR ISLANDS,-
2020,CHANDIGARH,24422
2020,DELHI,496284
2020,PUDUCHERRY,22816
2020,TELANGANA,537753
